UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,HO_AI,Ping_AI,HOF_AI,RLF_AI
1,11,3,0,0,4,0,0,10
2,10,1,0,0,6,0,0,10
11,12,2,0,0,7,1,0,17
12,26,6,1,0,12,1,0,26
13,18,1,0,0,11,2,0,22
14,7,1,0,0,3,0,0,7
15,12,3,0,0,6,0,0,15
16,13,2,0,0,9,1,0,12
17,5,0,0,0,3,0,0,4
18,16,3,0,0,8,2,0,14
19,18,7,0,0,8,1,0,12
20,15,4,0,0,5,0,0,13
3,17,2,0,0,8,2,0,5
21,17,6,0,0,9,2,0,16
22,15,1,0,0,10,2,0,14
23,12,1,0,0,11,5,0,13
24,7,0,0,0,9,5,0,9
25,10,1,0,0,8,3,0,6
26,21,5,0,0,9,2,0,14
27,25,3,1,0,9,0,0,17
28,17,4,0,0,12,4,0,20
29,21,8,0,0,11,4,0,15
30,26,10,0,0,15,6,0,19
4,9,1,0,0,5,0,0,23
5,20,1,1,0,8,1,0,7
6,12,1,0,0,5,0,0,5
7,14,2,0,0,7,0,0,6
8,12,2,0,0,11,2,0,22
9,22,5,0,0,8,1,0,8
10,11,0,0,0,7,0,0,13
