x,y,serving,speed,ping_pong,hof,rlf,ue_id,speed_kmh
4310.481305793936,2669.941020715688,55,22.864705157403566,0,0,0,79,22.864705157403566
4313.636944047496,2670.2970015117353,55,22.864705157403566,0,0,0,79,22.864705157403566
4316.792582301057,2670.652982307783,55,22.864705157403566,0,0,0,79,22.864705157403566
4319.948220554617,2671.0089631038304,55,22.864705157403566,0,0,0,79,22.864705157403566
4321.667531658757,2669.828760663262,55,22.864705157403566,0,0,0,79,22.864705157403566
4321.524130287025,2666.6563465728455,55,22.864705157403566,0,0,0,79,22.864705157403566
4321.380728915295,2663.4839324824293,55,22.864705157403566,0,0,0,79,22.864705157403566
4322.899765368053,2661.459844935305,55,22.864705157403566,0,0,0,79,22.864705157403566
4325.917543032221,2660.471010730733,55,22.864705157403566,0,0,0,79,22.864705157403566
4328.93532069639,2659.4821765261604,55,22.864705157403566,0,0,0,79,22.864705157403566
4328.3650269936625,2658.068356574994,55,22.864705157403566,0,0,0,79,22.864705157403566
4325.661753017936,2656.401897776631,55,22.864705157403566,0,0,0,79,22.864705157403566
4322.958479042208,2654.7354389782677,55,22.864705157403566,0,0,0,79,22.864705157403566
4320.255205066481,2653.0689801799044,55,22.864705157403566,0,0,0,79,22.864705157403566
4317.551931090753,2651.402521381541,55,22.864705157403566,0,0,0,79,22.864705157403566
4314.848657115026,2649.736062583178,55,22.864705157403566,0,0,0,79,22.864705157403566
4312.145383139298,2648.0696037848147,55,22.864705157403566,0,0,0,79,22.864705157403566
4309.442109163571,2646.4031449864515,55,22.864705157403566,0,0,0,79,22.864705157403566
4306.7388351878435,2644.7366861880882,55,22.864705157403566,0,0,0,79,22.864705157403566
4304.035561212117,2643.070227389725,55,22.864705157403566,0,0,0,79,22.864705157403566
4301.332287236389,2641.403768591362,55,22.864705157403566,0,0,0,79,22.864705157403566
4298.629013260662,2639.737309792999,55,22.864705157403566,0,0,0,79,22.864705157403566
4295.925739284934,2638.0708509946357,55,22.864705157403566,0,0,0,79,22.864705157403566
4293.222465309207,2636.4043921962725,55,22.864705157403566,0,0,0,79,22.864705157403566
4290.377942134854,2635.5837007369323,55,22.864705157403566,0,0,0,79,22.864705157403566
4287.279855092547,2636.2812907259527,55,22.864705157403566,0,0,0,79,22.864705157403566
4284.181768050241,2636.978880714973,55,22.864705157403566,0,0,0,79,22.864705157403566
4281.0836810079345,2637.676470703994,55,22.864705157403566,0,0,0,79,22.864705157403566
4277.9575610717175,2638.1939712277795,55,22.864705157403566,0,0,0,79,22.864705157403566
4274.794020295224,2638.4710720577077,55,22.864705157403566,0,0,0,79,22.864705157403566
4271.63047951873,2638.748172887636,55,22.864705157403566,0,0,0,79,22.864705157403566
4268.4669387422355,2639.0252737175642,55,22.864705157403566,0,0,0,79,22.864705157403566
4265.303397965742,2639.3023745474925,55,22.864705157403566,0,0,0,79,22.864705157403566
4262.139857189248,2639.5794753774207,55,22.864705157403566,0,0,0,79,22.864705157403566
4258.976316412754,2639.856576207349,55,22.864705157403566,0,0,0,79,22.864705157403566
4255.81277563626,2640.133677037277,55,22.864705157403566,0,0,0,79,22.864705157403566
4252.64928100174,2640.411303991234,55,22.864705157403566,0,0,0,79,22.864705157403566
4249.485800640205,2640.689093689874,55,22.864705157403566,0,0,0,79,22.864705157403566
4246.322320278669,2640.966883388514,55,22.864705157403566,0,0,0,79,22.864705157403566
4243.158839917135,2641.244673087154,55,22.864705157403566,0,0,0,79,22.864705157403566
4239.9953595556,2641.522462785794,55,22.864705157403566,0,0,0,79,22.864705157403566
4236.831879194066,2641.8002524844337,55,22.864705157403566,0,0,0,79,22.864705157403566
4233.674757557998,2642.1411302513525,55,22.864705157403566,0,0,0,79,22.864705157403566
4230.519471224695,2642.5002169669956,55,22.864705157403566,0,0,0,79,22.864705157403566
4227.36418489139,2642.8593036826387,55,22.864705157403566,0,0,0,79,22.864705157403566
4224.208898558087,2643.218390398282,55,22.864705157403566,0,0,0,79,22.864705157403566
4221.053612224782,2643.577477113925,55,22.864705157403566,0,0,0,79,22.864705157403566
4217.898325891479,2643.936563829568,55,22.864705157403566,0,0,0,79,22.864705157403566
4214.748533492915,2644.338418265847,55,22.864705157403566,0,0,0,79,22.864705157403566
4211.604934487603,2644.788485381154,55,22.864705157403566,0,0,0,79,22.864705157403566
4208.4613354822895,2645.2385524964607,55,22.864705157403566,0,0,0,79,22.864705157403566
4205.317736476976,2645.6886196117675,55,22.864705157403566,0,0,0,79,22.864705157403566
4202.229244815748,2646.3134884424762,55,22.864705157403566,0,0,0,79,22.864705157403566
4199.395900538025,2647.747690422109,55,22.864705157403566,0,0,0,79,22.864705157403566
4196.584992882466,2649.2132803842965,55,22.864705157403566,0,0,0,79,22.864705157403566
4194.310947663533,2651.429920512223,55,22.864705157403566,0,0,0,79,22.864705157403566
4192.036902444599,2653.646560640149,55,22.864705157403566,0,0,0,79,22.864705157403566
4189.762857225666,2655.863200768075,55,22.864705157403566,0,0,0,79,22.864705157403566
4187.488812006733,2658.0798408960013,55,22.864705157403566,0,0,0,79,22.864705157403566
4185.214766787799,2660.2964810239273,55,22.864705157403566,0,0,0,79,22.864705157403566
4182.940721568865,2662.5131211518533,55,22.864705157403566,0,0,0,79,22.864705157403566
4180.666676349932,2664.7297612797797,55,22.864705157403566,0,0,0,79,22.864705157403566
4178.392631130998,2666.9464014077057,55,22.864705157403566,0,0,0,79,22.864705157403566
4176.118585912065,2669.1630415356317,55,22.864705157403566,0,0,0,79,22.864705157403566
4173.844540693131,2671.379681663558,55,22.864705157403566,0,0,0,79,22.864705157403566
4171.570495474198,2673.596321791484,55,22.864705157403566,0,0,0,79,22.864705157403566
4169.296450255264,2675.81296191941,55,22.864705157403566,0,0,0,79,22.864705157403566
4167.02240503633,2678.0296020473365,55,22.864705157403566,0,0,0,79,22.864705157403566
4164.748359817397,2680.2462421752625,55,22.864705157403566,0,0,0,79,22.864705157403566
4162.474314598463,2682.4628823031885,55,22.864705157403566,0,0,0,79,22.864705157403566
4160.20026937953,2684.679522431115,55,22.864705157403566,0,0,0,79,22.864705157403566
4157.926224160597,2686.896162559041,55,22.864705157403566,0,0,0,79,22.864705157403566
4155.652178941663,2689.112802686967,55,22.864705157403566,0,0,0,79,22.864705157403566
4153.378133722729,2691.3294428148934,55,22.864705157403566,0,0,0,79,22.864705157403566
4151.1040885037955,2693.5460829428193,55,22.864705157403566,0,0,0,79,22.864705157403566
4148.830043284862,2695.7627230707453,55,22.864705157403566,0,0,0,79,22.864705157403566
4146.555998065929,2697.9793631986718,55,22.864705157403566,0,0,0,79,22.864705157403566
4144.281952846995,2700.1960033265977,55,22.864705157403566,0,0,0,79,22.864705157403566
4142.007907628062,2702.4126434545237,55,22.864705157403566,0,0,0,79,22.864705157403566
4139.733862409128,2704.6292835824497,55,22.864705157403566,0,0,0,79,22.864705157403566
4137.459817190194,2706.845923710376,55,22.864705157403566,0,0,0,79,22.864705157403566
4135.185771971261,2709.062563838302,55,22.864705157403566,0,0,0,79,22.864705157403566
4132.911726752328,2711.279203966228,55,22.864705157403566,0,0,0,79,22.864705157403566
4129.863912993755,2712.0175420038163,55,22.864705157403566,0,0,0,79,22.864705157403566
4126.746489299922,2712.6228887041634,55,22.864705157403566,0,0,0,79,22.864705157403566
4123.62906560609,2713.2282354045105,55,22.864705157403566,0,0,0,79,22.864705157403566
4120.511641912258,2713.833582104858,55,22.864705157403566,0,0,0,79,22.864705157403566
4117.394218218426,2714.4389288052053,55,22.864705157403566,0,0,0,79,22.864705157403566
4114.276794524594,2715.044275505553,55,22.864705157403566,0,0,0,79,22.864705157403566
4111.159370830762,2715.6496222059,55,22.864705157403566,0,0,0,79,22.864705157403566
4108.0419471369305,2716.254968906247,55,22.864705157403566,0,0,0,79,22.864705157403566
4104.924523443098,2716.8603156065947,55,22.864705157403566,0,0,0,79,22.864705157403566
4101.807099749266,2717.465662306942,55,22.864705157403566,0,0,0,79,22.864705157403566
