,Handovers,Mean SINR (dB),Mean Mbps,5th %ile Mbps
3GPP Baseline,21,-12.662817889207787,28.092734501829163,0.00013965702482869927
AI-Optimized,12,-14.857962571127517,26.511505604868695,8.69042649517139e-05
