Cell_ID,Visit_Count,Utilisation
0,747,0.0747
1,104,0.0104
2,0,0.0
3,802,0.0802
4,149,0.0149
5,221,0.0221
6,161,0.0161
7,0,0.0
8,321,0.0321
9,629,0.0629
10,568,0.0568
11,22,0.0022
12,2188,0.2188
13,1246,0.1246
14,1337,0.1337
15,1020,0.102
16,152,0.0152
17,1852,0.1852
18,14,0.0014
19,121,0.0121
20,549,0.0549
21,246,0.0246
22,604,0.0604
23,0,0.0
24,1863,0.1863
25,901,0.0901
26,684,0.0684
27,1024,0.1024
28,1191,0.1191
29,1524,0.1524
30,137,0.0137
31,262,0.0262
32,1169,0.1169
33,0,0.0
34,0,0.0
35,0,0.0
36,484,0.0484
37,1011,0.1011
38,27,0.0027
39,573,0.0573
40,1105,0.1105
41,793,0.0793
42,921,0.0921
43,1004,0.1004
44,1486,0.1486
45,0,0.0
46,97,0.0097
47,99,0.0099
48,321,0.0321
49,478,0.0478
50,256,0.0256
51,1150,0.115
52,1186,0.1186
53,292,0.0292
54,108,0.0108
55,228,0.0228
56,640,0.064
