UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,Speed,HO_AI,Ping_AI,HOF_AI,RLF_AI,Route_Len_km,HO_Rate_Base,HO_Rate_AI,Reliability_Base,Reliability_AI,Speed_Bin
1,8,1,0,0,86.1759940682679,3,0,4,2,2.7711273449571223,2.886911716474648,1.082591893677993,1.0,0.33333333333333337,High (>70 km/h)
2,11,0,0,0,54.43708781439536,6,0,2,1,4.104843571210072,2.6797610698614993,1.4616878562880906,1.0,0.6666666666666667,Med (40-70 km/h)
11,7,0,0,0,96.28472668901158,4,0,3,0,2.9799281802372857,2.3490499020827422,1.342314229761567,1.0,0.5714285714285714,High (>70 km/h)
12,3,0,0,0,80.78965987207326,2,0,0,0,2.2743508859061445,1.3190576786504704,0.8793717857669803,1.0,1.0,High (>70 km/h)
13,8,0,0,0,86.23043637412611,5,0,0,1,4.146850348756438,1.9291749948003427,1.2057343717502143,1.0,0.8333333333333334,High (>70 km/h)
14,6,0,0,0,86.14653702401046,3,0,0,1,2.3811686682349644,2.5197711023333285,1.2598855511666642,1.0,0.75,High (>70 km/h)
15,12,0,0,1,79.38442067501242,8,0,0,2,4.392983786878066,2.7316285654967016,1.8210857103311346,0.9230769230769231,0.8,High (>70 km/h)
16,9,0,1,0,64.20315796860996,5,0,0,1,2.734730484441755,3.2910007224485907,1.8283337346936614,0.9,0.8333333333333334,Med (40-70 km/h)
17,12,0,1,0,37.62929607363125,5,0,1,2,3.438456499345817,3.48993800046127,1.4541408335255293,0.9230769230769231,0.625,Low (<40 km/h)
18,5,0,0,0,92.64949870597424,3,0,0,2,2.8676819299589504,1.743568541463583,1.0461411248781498,1.0,0.6,High (>70 km/h)
19,20,2,1,0,52.778850977118985,7,0,0,0,4.3616732957657245,4.585396164223448,1.604888657478207,0.9523809523809523,1.0,Med (40-70 km/h)
20,6,0,0,0,43.83429941963946,6,0,5,2,3.9584354174986944,1.515750382960992,1.515750382960992,1.0,0.46153846153846156,Med (40-70 km/h)
3,10,1,0,0,87.9308059812669,6,0,0,1,3.4450071270890854,2.90275161446463,1.741650968678778,1.0,0.8571428571428572,High (>70 km/h)
21,13,0,0,0,77.30835713264561,7,0,0,1,4.75796341110995,2.732261448174383,1.4712177028631295,1.0,0.875,High (>70 km/h)
22,14,0,0,0,96.76121673216925,8,0,0,1,4.390720192905935,3.1885429690144527,1.8220245537225443,1.0,0.8888888888888888,High (>70 km/h)
23,12,1,1,0,34.70739108301784,3,0,8,2,2.82405545940757,4.249208336197958,1.0623020840494894,0.9230769230769231,0.23076923076923073,Low (<40 km/h)
24,11,1,1,0,36.25093728057213,7,0,1,0,4.938963842914429,2.2271877968454654,1.4173013252652962,0.9166666666666666,0.875,Low (<40 km/h)
25,11,2,0,0,92.35022592376193,5,0,0,0,2.4165548042997784,4.551934837326134,2.0690612896936975,1.0,1.0,High (>70 km/h)
26,11,1,0,0,33.26163815171833,6,0,2,0,3.125748553377092,3.5191570313982816,1.9195401989445173,1.0,0.75,Low (<40 km/h)
27,14,1,0,1,25.775063324221563,4,0,1,0,2.5963923321921007,5.392097267588207,1.5405992193109164,0.9333333333333333,0.8,Low (<40 km/h)
28,10,0,0,0,43.37862771820095,2,0,0,1,2.4708466800401085,4.047195676195365,0.8094391352390731,1.0,0.6666666666666667,Med (40-70 km/h)
29,7,0,0,0,90.4210930965532,5,0,5,1,2.8100394613996156,2.491068220270993,1.7793344430507092,1.0,0.4545454545454546,High (>70 km/h)
30,8,1,0,0,39.37501547851319,4,0,2,2,4.120252462121688,1.941628595224592,0.970814297612296,1.0,0.5,Low (<40 km/h)
4,9,2,0,0,43.46582650026225,6,0,0,0,3.852465112081394,2.33616651628482,1.5574443441898802,1.0,1.0,Med (40-70 km/h)
31,17,2,0,0,36.36237644368544,7,0,0,1,3.601911686185259,4.719715940066396,1.9434124459096926,1.0,0.875,Low (<40 km/h)
32,8,0,0,0,76.466829959113,5,0,2,0,4.319636438498345,1.8520077126632157,1.1575048204145097,1.0,0.7142857142857143,High (>70 km/h)
33,12,0,0,0,37.22515096680426,4,0,5,2,2.4488005444686407,4.900358270135819,1.6334527567119397,1.0,0.36363636363636365,Low (<40 km/h)
34,8,0,0,0,98.69114948558676,5,0,0,1,2.945167917849506,2.7163137122047076,1.6976960701279422,1.0,0.8333333333333334,High (>70 km/h)
35,7,0,1,0,94.49661844864042,4,0,0,0,2.3409968570733333,2.9901791533164457,1.7086738018951118,0.875,1.0,High (>70 km/h)
36,14,1,0,0,86.29052765177528,8,0,4,0,4.6789367408831515,2.9921327804396634,1.7097901602512362,1.0,0.6666666666666667,High (>70 km/h)
37,6,0,0,0,39.881800677463566,3,0,4,0,2.2595862895213403,2.6553533396022733,1.3276766698011366,1.0,0.4285714285714286,Low (<40 km/h)
38,13,0,0,0,95.36364166419452,7,0,2,1,4.798611602218456,2.7091169441573357,1.458755277623181,1.0,0.7,High (>70 km/h)
39,13,1,0,0,70.88538819303153,11,0,2,0,5.363366340229694,2.4238508383231667,2.050950709350372,1.0,0.8461538461538461,High (>70 km/h)
40,12,2,0,0,26.28151645969914,3,0,5,1,2.841174301299248,4.223605709270455,1.0559014273176137,1.0,0.33333333333333337,Low (<40 km/h)
5,8,1,0,0,25.846480096667275,6,0,0,0,3.088886024876702,2.5899304589327907,1.942447844199593,1.0,1.0,Low (<40 km/h)
41,9,0,0,0,33.34656881853501,2,0,2,1,2.513105442809699,3.5812265759680306,0.7958281279928957,1.0,0.4,Low (<40 km/h)
42,13,1,0,0,38.74480832085203,3,0,4,1,3.422154438468726,3.7987765408439507,0.8766407401947579,1.0,0.375,Low (<40 km/h)
43,9,0,0,0,98.4828309653629,6,1,4,2,3.1764013820034855,2.833395064928266,1.8889300432855107,1.0,0.5,High (>70 km/h)
44,11,0,0,0,62.07532468168744,6,0,0,1,4.479946225812364,2.455386615272448,1.3393017901486082,1.0,0.8571428571428572,Med (40-70 km/h)
45,7,0,0,0,87.62767102152847,2,0,0,1,2.0449417202579783,3.423080438261546,0.9780229823604417,1.0,0.6666666666666667,High (>70 km/h)
46,10,1,0,0,62.29800444677097,4,0,0,0,3.142946274598661,3.181727947696768,1.2726911790787072,1.0,1.0,Med (40-70 km/h)
47,14,0,0,0,98.03527391596154,7,0,0,1,3.7416528571274297,3.7416619164259366,1.8708309582129683,1.0,0.875,High (>70 km/h)
48,16,1,0,0,45.52258028078661,5,0,2,0,2.6474662732254384,6.04351419385865,1.8885981855808283,1.0,0.7142857142857143,Med (40-70 km/h)
49,10,0,0,0,54.95285750605896,4,0,3,0,2.6064733116464778,3.836601723607567,1.534640689443027,1.0,0.5714285714285714,Med (40-70 km/h)
50,6,0,0,0,44.524350064667175,3,0,0,1,2.600903285078935,2.3068908538126998,1.1534454269063499,1.0,0.75,Med (40-70 km/h)
6,9,0,0,0,85.19448042412489,3,0,2,2,2.384972962364558,3.7736276855218676,1.257875895173956,1.0,0.4285714285714286,High (>70 km/h)
51,10,0,0,0,60.79756335027854,5,0,0,0,2.4910112476046065,4.01443390093728,2.00721695046864,1.0,1.0,Med (40-70 km/h)
