UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,HO_AI,Ping_AI,HOF_AI,RLF_AI
1,8,1,0,0,5,0,0,0
2,8,1,0,0,2,0,5,2
11,10,1,0,0,4,0,0,0
12,17,0,0,0,4,0,1,3
13,9,0,1,0,6,0,1,0
14,7,1,0,0,3,0,0,1
15,6,0,0,0,3,0,0,0
16,10,0,0,0,4,0,1,1
17,9,1,0,0,3,0,0,0
18,10,1,0,0,6,0,0,0
19,9,0,0,0,6,0,0,0
20,11,0,1,0,4,0,3,0
3,11,0,0,0,4,0,5,2
21,13,0,0,0,6,0,2,0
22,15,1,0,0,8,0,0,0
23,11,1,0,0,4,0,0,0
24,10,0,0,0,2,0,1,2
25,11,1,1,0,2,0,3,0
26,8,1,0,0,6,0,2,0
27,21,3,1,0,9,0,0,0
28,12,0,0,0,5,0,3,1
29,8,1,1,0,5,0,0,0
30,11,0,0,0,5,0,1,1
4,5,0,0,0,3,0,0,0
5,8,1,0,0,3,0,0,1
6,11,1,0,0,4,0,1,1
7,8,0,0,0,3,0,0,1
8,14,0,0,0,5,0,3,1
9,15,2,0,0,5,0,0,1
10,11,0,0,0,7,0,0,1
