Route_ID,HO_Baseline,HO_AI,HO_Reduction,Cumulative_Delay_Baseline_ms,Cumulative_Delay_AI_ms,Delay_Savings_ms,Delay_Savings_Percent
89,9,7,2,12485.0,11820.0,665.0,5.326391670004005
90,7,9,-2,11855.0,12340.0,-485.0,-4.091100801349642
10,7,3,4,12055.0,10780.0,1275.0,10.576524263790958
91,10,6,4,12650.0,11560.0,1090.0,8.616600790513834
92,11,4,7,13115.0,11040.0,2075.0,15.821578345406023
93,12,5,7,13180.0,11300.0,1880.0,14.264036418816389
94,11,8,3,12915.0,12080.0,835.0,6.465350367789393
95,10,5,5,12750.0,11300.0,1450.0,11.372549019607844
96,15,8,7,14075.0,12080.0,1995.0,14.174067495559504
97,7,3,4,11855.0,10780.0,1075.0,9.067903838043021
98,13,6,7,13545.0,11560.0,1985.0,14.654854189737913
99,10,5,5,12650.0,11300.0,1350.0,10.67193675889328
100,14,3,11,13810.0,10780.0,3030.0,21.940622737146995
