Cell_ID,Visit_Count,Utilisation
0,550,0.055
1,129,0.0129
2,0,0.0
3,839,0.0839
4,96,0.0096
5,469,0.0469
6,42,0.0042
7,0,0.0
8,206,0.0206
9,693,0.0693
10,312,0.0312
11,45,0.0045
12,2185,0.2185
13,1408,0.1408
14,1158,0.1158
15,1100,0.11
16,240,0.024
17,1855,0.1855
18,21,0.0021
19,90,0.009
20,453,0.0453
21,168,0.0168
22,299,0.0299
23,0,0.0
24,1709,0.1709
25,966,0.0966
26,730,0.073
27,1392,0.1392
28,1475,0.1475
29,2013,0.2013
30,154,0.0154
31,281,0.0281
32,1301,0.1301
33,0,0.0
34,0,0.0
35,0,0.0
36,467,0.0467
37,874,0.0874
38,21,0.0021
39,602,0.0602
40,966,0.0966
41,804,0.0804
42,807,0.0807
43,805,0.0805
44,1516,0.1516
45,0,0.0
46,67,0.0067
47,122,0.0122
48,405,0.0405
49,458,0.0458
50,255,0.0255
51,878,0.0878
52,1064,0.1064
53,192,0.0192
54,101,0.0101
55,161,0.0161
56,617,0.0617
