Route,HO_Baseline,HO_AI,Mbps_Baseline,Mbps_AI,Mean_SINR_Baseline,Mean_SINR_AI,Reliability_Flag
1,19,12,27.22666577100952,25.992286005625555,-13.63531005475232,-14.362914983843106,True
2,10,7,68.36093797174281,66.26285174275606,-3.8773690462385835,-4.827105573683422,True
3,8,4,67.98371732842473,65.19032673534835,-2.5496530507733053,-4.1534093804175,True
4,13,7,31.67798966651115,31.59801183240524,-11.617093435909796,-11.661282700439013,True
5,14,4,28.816279242539498,25.468282431776448,-13.182218492088792,-16.79440341150402,True
6,7,7,26.777204430316136,26.417369831951795,-12.826543651430093,-13.496059608689938,True
7,3,2,62.87515686847873,62.037583053853204,-2.032978963435946,-2.0840339957872245,True
8,4,4,13.428028140244978,13.370903234893344,-15.512103891143719,-15.706703644767412,True
9,8,6,65.95617045725777,65.17977368699614,-1.9962081594216226,-2.5154477698112565,True
10,3,2,55.84605273186331,54.31400822115917,-5.740873624780079,-7.1310207752928525,True
11,2,2,30.378941506172097,28.973918135832683,-10.594810680480302,-12.136143893131933,True
12,6,6,27.018305343080335,24.466530414388824,-10.343045736367397,-12.137598503670631,True
13,9,9,38.83918000654282,38.20936482187197,-9.44801153507536,-10.422332736044263,True
14,7,6,21.751519754741576,21.738239664625684,-11.881544788821458,-12.72430615395076,True
15,17,8,25.41564813395578,23.796415346552283,-13.94424334416055,-14.958444466494834,True
16,4,5,65.42000659599583,64.18244587008887,-2.371686698426023,-2.6134354084803366,True
17,22,13,35.87241452810582,33.38659720312238,-11.993085471976737,-14.52508543370099,True
18,12,4,42.99698252496766,39.97766072889631,-11.06498867135294,-13.93074198333689,True
19,8,4,70.6270937351344,68.25974511731859,-1.6850119490915343,-2.4273345127935295,True
20,16,12,21.685016949838257,15.210048736794315,-15.92433195847242,-18.75931623083328,True
