KPI,Baseline_Mean,Baseline_95CI,AI_Mean,AI_95CI
Handovers,10.08,+/-0.618,5.0,+/-0.414
Ping-Pong,0.51,+/-0.137,0.02,+/-0.028
HOF,0.29,+/-0.114,0.94,+/-0.28
RLF,0.05,+/-0.043,0.78,+/-0.153
