Cell_ID,Visit_Count,Utilisation
0,715,0.0715
1,224,0.0224
2,2,0.0002
3,643,0.0643
4,77,0.0077
5,246,0.0246
6,70,0.007
7,0,0.0
8,96,0.0096
9,700,0.07
10,500,0.05
11,63,0.0063
12,2531,0.2531
13,1306,0.1306
14,1297,0.1297
15,1086,0.1086
16,133,0.0133
17,1589,0.1589
18,13,0.0013
19,110,0.011
20,595,0.0595
21,199,0.0199
22,483,0.0483
23,0,0.0
24,1702,0.1702
25,958,0.0958
26,849,0.0849
27,1457,0.1457
28,1420,0.142
29,1958,0.1958
30,132,0.0132
31,311,0.0311
32,748,0.0748
33,0,0.0
34,0,0.0
35,0,0.0
36,610,0.061
37,1088,0.1088
38,33,0.0033
39,498,0.0498
40,1140,0.114
41,550,0.055
42,853,0.0853
43,765,0.0765
44,1817,0.1817
45,0,0.0
46,38,0.0038
47,70,0.007
48,361,0.0361
49,565,0.0565
50,266,0.0266
51,1417,0.1417
52,1265,0.1265
53,119,0.0119
54,72,0.0072
55,259,0.0259
56,607,0.0607
