UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,Speed,HO_AI,Ping_AI,HOF_AI,RLF_AI,Route_Len_km,HO_Rate_Base,HO_Rate_AI,Reliability_Base,Reliability_AI,Speed_Bin
1,9,1,0,1,37.33366454268314,5,0,0,0,2.7711273449571223,3.247775681033979,1.804319822796655,0.9,1.0,Low (<40 km/h)
2,8,0,0,0,49.83810739915419,4,0,6,1,4.104843571210072,1.948917141717454,0.974458570858727,1.0,0.36363636363636365,Med (40-70 km/h)
11,12,0,0,0,64.81196885007589,5,0,0,0,2.9799281802372857,4.0269426892847004,1.6778927872019587,1.0,1.0,Med (40-70 km/h)
12,7,2,0,0,26.71598691130635,3,0,1,1,2.2743508859061445,3.077801250184431,1.3190576786504704,1.0,0.6,Low (<40 km/h)
13,6,1,0,0,34.656176635792406,5,0,0,0,4.146850348756438,1.4468812461002571,1.2057343717502143,1.0,1.0,Low (<40 km/h)
14,9,0,0,0,27.619772391246546,2,0,3,2,2.3811686682349644,3.779656653499993,0.8399237007777761,1.0,0.2857142857142857,Low (<40 km/h)
15,10,0,0,0,57.728795077096535,7,0,1,1,4.392983786878066,2.276357137913918,1.5934499965397426,1.0,0.7777777777777778,Med (40-70 km/h)
16,16,2,3,0,38.69499959724052,6,0,4,1,2.734730484441755,5.850667951019717,2.194000481632394,0.8421052631578947,0.5454545454545454,Low (<40 km/h)
17,10,0,0,0,87.75424169432182,5,0,0,2,3.438456499345817,2.9082816670510585,1.4541408335255293,1.0,0.7142857142857143,High (>70 km/h)
18,9,1,1,0,88.52340206775501,2,0,0,2,2.8676819299589504,3.138423374634449,0.6974274165854332,0.9,0.5,High (>70 km/h)
19,11,0,0,0,72.2382083064279,9,1,0,0,4.3616732957657245,2.521967890322897,2.063428273900552,1.0,1.0,High (>70 km/h)
20,9,1,0,0,55.26690445629939,8,0,0,0,3.9584354174986944,2.2736255744414877,2.021000510614656,1.0,1.0,Med (40-70 km/h)
3,13,1,0,0,95.99223064405588,5,0,0,0,3.4450071270890854,3.773577098804019,1.451375807232315,1.0,1.0,High (>70 km/h)
21,12,2,0,0,43.0336597056898,7,0,2,2,4.75796341110995,2.5220874906225075,1.4712177028631295,1.0,0.6363636363636364,Med (40-70 km/h)
22,11,1,0,0,67.99809969791981,6,0,2,1,4.390720192905935,2.5052837613684984,1.3665184152919083,1.0,0.6666666666666667,Med (40-70 km/h)
23,8,0,0,0,20.04802195545817,3,0,0,2,2.82405545940757,2.832805557465305,1.0623020840494894,1.0,0.6,Low (<40 km/h)
24,13,1,1,0,96.3990589686396,8,0,0,1,4.938963842914429,2.63213103263555,1.6197729431603383,0.9285714285714286,0.8888888888888888,High (>70 km/h)
25,8,1,0,0,79.79618618679017,4,0,0,1,2.4165548042997784,3.310498063509916,1.655249031754958,1.0,0.8,High (>70 km/h)
26,18,1,0,0,39.39897896392785,6,0,2,0,3.125748553377092,5.758620596833552,1.9195401989445173,1.0,0.75,Low (<40 km/h)
27,14,0,0,0,51.85973961960439,3,0,4,0,2.5963923321921007,5.392097267588207,1.1554494144831873,1.0,0.4285714285714286,Med (40-70 km/h)
28,10,0,0,0,30.37781175240833,3,0,0,3,2.4708466800401085,4.047195676195365,1.2141587028586096,1.0,0.5,Low (<40 km/h)
29,9,0,2,0,36.652199047180375,4,0,1,1,2.8100394613996156,3.2028019974912767,1.4234675544405675,0.8181818181818181,0.6666666666666667,Low (<40 km/h)
30,9,0,1,0,78.3186727518077,4,0,0,1,4.120252462121688,2.184332169627666,0.970814297612296,0.9,0.8,High (>70 km/h)
4,16,1,1,0,53.4444025761547,6,0,1,0,3.852465112081394,4.15318491783968,1.5574443441898802,0.9411764705882353,0.8571428571428572,Med (40-70 km/h)
31,15,1,0,0,20.431792159384827,5,0,2,1,3.601911686185259,4.164455241235056,1.388151747078352,1.0,0.625,Low (<40 km/h)
32,11,0,1,0,71.76057988687215,5,0,1,1,4.319636438498345,2.5465106049119215,1.1575048204145097,0.9166666666666666,0.7142857142857143,High (>70 km/h)
33,13,1,1,0,57.736204580039285,3,0,6,2,2.4488005444686407,5.308721459313804,1.2250895675339548,0.9285714285714286,0.2727272727272727,Med (40-70 km/h)
34,11,0,0,0,54.81291617131271,4,0,0,1,2.945167917849506,3.7349313542814726,1.3581568561023538,1.0,0.8,Med (40-70 km/h)
35,11,0,0,0,26.52763768851136,5,0,0,0,2.3409968570733333,4.698852955211557,2.1358422523688896,1.0,1.0,Low (<40 km/h)
36,12,1,1,0,81.02993180894819,11,0,0,0,4.6789367408831515,2.5646852403768543,2.3509614703454496,0.9230769230769231,1.0,High (>70 km/h)
37,6,0,0,0,57.20582661017598,3,0,1,2,2.2595862895213403,2.6553533396022733,1.3276766698011366,1.0,0.5,Med (40-70 km/h)
38,12,0,1,0,93.9267024232731,9,0,0,0,4.798611602218456,2.50072333306831,1.8755424998012324,0.9230769230769231,1.0,High (>70 km/h)
39,10,1,1,0,26.88364165254132,12,0,2,0,5.363366340229694,1.8645006448639745,2.2374007738367694,0.9090909090909091,0.8571428571428572,Low (<40 km/h)
40,8,1,0,0,29.331126985435887,4,0,0,1,2.841174301299248,2.815737139513637,1.4078685697568185,1.0,0.8,Low (<40 km/h)
5,14,0,0,0,93.00679836852888,5,0,0,0,3.088886024876702,4.532378303132384,1.618706536832994,1.0,1.0,High (>70 km/h)
41,7,0,1,0,31.902416794646456,3,0,0,0,2.513105442809699,2.785398447975135,1.1937421919893436,0.875,1.0,Low (<40 km/h)
42,9,0,0,0,33.99532647123063,4,0,0,1,3.422154438468726,2.6299222205842736,1.168854320259677,1.0,0.8,Low (<40 km/h)
43,9,2,0,0,61.14998079091957,5,0,0,2,3.1764013820034855,2.833395064928266,1.5741083694045923,1.0,0.7142857142857143,Med (40-70 km/h)
44,10,0,0,0,96.9076869314516,7,0,1,0,4.479946225812364,2.23216965024768,1.5625187551733761,1.0,0.875,High (>70 km/h)
45,9,0,0,1,20.06711020976074,2,0,0,1,2.0449417202579783,4.401103420621988,0.9780229823604417,0.9,0.6666666666666667,Low (<40 km/h)
46,9,0,0,0,81.44952329927325,4,0,0,1,3.142946274598661,2.8635551529270913,1.2726911790787072,1.0,0.8,High (>70 km/h)
47,15,2,0,0,66.78607177138862,7,0,0,1,3.7416528571274297,4.008923481884932,1.8708309582129683,1.0,0.875,Med (40-70 km/h)
48,10,0,0,0,99.6705589594586,3,0,0,0,2.6474662732254384,3.7771963711616565,1.133158911348497,1.0,1.0,High (>70 km/h)
49,9,0,0,0,95.56493442095515,5,0,2,0,2.6064733116464778,3.4529415512468105,1.9183008618037836,1.0,0.7142857142857143,High (>70 km/h)
50,7,1,0,0,36.044501083514994,4,0,1,0,2.600903285078935,2.6913726627814833,1.5379272358751332,1.0,0.8,Low (<40 km/h)
6,10,0,0,0,42.87383217352168,4,0,2,0,2.384972962364558,4.192919650579853,1.6771678602319413,1.0,0.6666666666666667,Med (40-70 km/h)
51,8,0,0,0,59.55681421017885,5,0,0,1,2.4910112476046065,3.211547120749824,2.00721695046864,1.0,0.8333333333333334,Med (40-70 km/h)
52,9,0,0,0,54.15694129855862,6,0,0,2,3.9654036956356626,2.269630204335925,1.5130868028906164,1.0,0.75,Med (40-70 km/h)
53,7,0,0,0,95.37841241909156,7,0,0,1,4.047238759427398,1.7295742643535952,1.7295742643535952,1.0,0.875,High (>70 km/h)
54,9,0,0,0,20.08316893610811,6,0,0,0,2.945695186854671,3.0553059393799473,2.036870626253298,1.0,1.0,Low (<40 km/h)
55,8,0,0,0,39.98278222691405,6,1,2,1,2.3287869732784063,3.4352648360694866,2.5764486270521147,1.0,0.6666666666666667,Low (<40 km/h)
56,11,1,1,0,22.763523128993526,4,0,3,1,3.2988940432441316,3.334450835887594,1.2125275766863979,0.9166666666666666,0.5,Low (<40 km/h)
57,10,0,0,0,55.33067231299928,7,0,1,1,4.054037931079941,2.466676476639708,1.7266735336477954,1.0,0.7777777777777778,Med (40-70 km/h)
58,16,1,1,0,40.63381277887629,6,0,0,1,2.4614032336030127,6.500357105885138,2.4376339147069266,0.9411764705882353,0.8571428571428572,Med (40-70 km/h)
59,6,0,0,0,24.011251193087144,7,0,0,1,4.588948410146339,1.3074890941754262,1.525403943204664,1.0,0.875,Low (<40 km/h)
60,12,0,1,0,91.47892934493883,10,0,0,0,4.201925798347537,2.8558333906608158,2.379861158884013,0.9230769230769231,1.0,High (>70 km/h)
7,7,0,0,0,91.45572476370808,3,0,0,2,2.8008948915668483,2.499201244957868,1.0710862478390863,1.0,0.6,High (>70 km/h)
61,6,0,0,0,55.32225288034581,4,0,0,0,2.232044188941453,2.6881188238685816,1.7920792159123877,1.0,1.0,Med (40-70 km/h)
62,8,0,0,0,96.98323769777195,6,0,0,1,3.1007404118087,2.5800289406792043,1.9350217055094032,1.0,0.8571428571428572,High (>70 km/h)
63,14,0,0,0,62.88439971043615,5,0,0,0,3.435210948714038,4.075441132731852,1.4555146902613758,1.0,1.0,Med (40-70 km/h)
64,9,0,0,0,80.23684964052416,3,0,0,1,2.352652983971582,3.8254685503200894,1.2751561834400298,1.0,0.75,High (>70 km/h)
65,17,2,0,0,37.13132860728604,4,0,1,0,2.247195007391186,7.56498654726705,1.7799968346510706,1.0,0.8,Low (<40 km/h)
66,15,0,0,0,59.22701614169079,6,0,0,0,3.7897741710733803,3.958019481607143,1.5832077926428572,1.0,1.0,Med (40-70 km/h)
67,5,0,0,0,70.1435791439013,3,0,2,2,2.147853648180727,2.3279053506439302,1.3967432103863582,1.0,0.4285714285714286,High (>70 km/h)
68,5,0,0,0,46.4783858979639,4,0,0,0,2.1660177844384823,2.3083836318990327,1.8467069055192262,1.0,1.0,Med (40-70 km/h)
69,7,1,1,0,96.52686364045717,3,0,0,2,2.2201677470226944,3.1529149134731784,1.3512492486313623,0.875,0.6,High (>70 km/h)
70,7,0,0,0,44.093017108403465,4,0,0,0,2.907241242556212,2.4077809221794064,1.3758748126739466,1.0,1.0,Med (40-70 km/h)
8,7,0,0,0,99.57676546782768,4,0,0,0,2.057418035292184,3.4023226587521846,1.94418437642982,1.0,1.0,High (>70 km/h)
71,8,1,1,0,34.4201323762779,4,0,0,1,2.7642828620238054,2.8940598337114407,1.4470299168557204,0.8888888888888888,0.8,Low (<40 km/h)
72,13,0,0,0,56.531813822005006,3,0,0,0,2.2825521066219387,5.695379291576979,1.314318298056226,1.0,1.0,Med (40-70 km/h)
73,14,0,0,0,35.09974659950996,7,0,1,0,4.514846944933506,3.1008803112828867,1.5504401556414433,1.0,0.875,Low (<40 km/h)
74,8,0,1,0,90.5103382070061,2,0,4,1,2.2032043758632587,3.6310748506322494,0.9077687126580624,0.8888888888888888,0.2857142857142857,High (>70 km/h)
75,8,1,0,0,74.71469268930619,6,0,2,1,3.590889859424561,2.227860032800337,1.6708950246002527,1.0,0.6666666666666667,High (>70 km/h)
76,7,1,0,0,32.83771786534275,3,0,0,2,2.5756966089104987,2.717711385643727,1.1647334509901688,1.0,0.6,Low (<40 km/h)
77,7,0,0,0,28.327428995192044,9,0,0,0,4.794154952244666,1.460111337603416,1.8772860054901062,1.0,1.0,Low (<40 km/h)
78,8,0,0,0,48.02812164013599,5,0,0,1,3.095619351280224,2.584297063749624,1.6151856648435152,1.0,0.8333333333333334,Med (40-70 km/h)
