Route,HO_Baseline,HO_AI,Mbps_Baseline,Mbps_AI,Mean_SINR_Baseline,Mean_SINR_AI,Reliability_Flag
1,20,6,31.703140915885264,26.061382369295156,-12.065730092538283,-18.44480451773269,True
2,7,3,60.30993490340233,60.23837702692024,-4.041681511244434,-4.546314274269341,True
3,4,2,55.347909547789,55.22525002382816,-3.7721139946686515,-4.919223657306613,True
4,11,3,29.61407131694786,26.92671497672865,-13.974138750112985,-21.496325206063403,True
5,10,3,27.731992382159497,26.613130345899727,-12.418466250375776,-17.119035772004978,True
6,7,3,21.013257997662976,20.945625565840373,-13.677549763349262,-16.204700828721073,True
7,4,2,63.05780054441232,61.53683611662877,-2.93803035674625,-4.898524252933004,True
8,8,2,34.487653510663094,31.948421478068326,-11.473890906142083,-15.04299378895012,True
9,7,4,56.68435826461882,54.99961673845188,-4.967207517243139,-6.1436246571379725,True
10,13,2,51.38373311304462,48.308971138963805,-8.602712436608718,-11.512898062859753,True
11,10,4,21.31449270174122,15.152926400649985,-15.414984374950368,-23.817856315609983,True
12,6,4,31.68487448981474,30.119966613507426,-10.198596283712257,-11.07335007110368,True
13,20,5,36.77424964883415,34.73234631320437,-10.9614341786917,-12.595792867842146,True
14,5,2,34.13535256414994,27.97504683044723,-11.060164212855334,-19.987847908589885,True
15,29,3,29.076573741359162,24.600463721323266,-16.657016141247244,-19.783910241182443,True
16,6,4,61.46599402415131,58.73478731444259,-2.2447369064338885,-4.556079716802823,True
17,15,5,40.422645762938174,31.351816980785024,-12.080555677707341,-17.934083797218186,True
18,7,4,38.11936343200549,37.262241375228726,-10.570360647976745,-11.824933337108384,True
19,4,2,72.32664180726796,69.66564850892858,-0.8197434694710727,-4.070672000877325,True
20,20,5,18.41386356245462,16.09216247882487,-16.503743245474674,-18.218063301326794,True
